text@sp1983m	@sp1983m	308.467	310.638	д... даже ам... амбициозность //
text@sp1983m	@sp1983m	310.702	316.758	там уж не говоря о с... самолюбии / там вот этом всем / то есть /
text@sp1983m	@sp1983m	317.027	319.822	я... я таким не могу / вот//
text@sp1983m	@sp1983m	320.052	327.702	а второе я уже был же / как бы / мы / там когда еще я жил в Уфе / мы уже исполняли / там у нас был хип-хоп //
text@sp1983m	@sp1983m	327.729	330.702	одна команда / в которой там по всей Уфе выступала /
text@sp1983m	@sp1983m	330.903	338.227	вторая / ну / вторая команда которая мы ез... ездили уже и в Екатеринбург ездили / и в Москву / и в Питер / и все  такое //
text@sp1983m	@sp1983m	338.227	340.113	и у меня уже была звездная болезнь //
text@sp1983m	@sp1983m	340.12	342.893	ну такая маленькая / но она б... была да //
text@sp1983m	@sp1983m	342.907	348.666	взлеты / ааа / то есть / я... я / потом упал / нет звездной болезни //
text@sp1983m	@sp1983m	348.669	355.035	п... потом опять в... взлет / эта звездная б... болезнь уже м... меньше  //
text@sp1983m	@sp1983m	355.134	358.73	ну потому что я... я уже однажды упал //
text@sp1983m	@sp1983m	359.325	361.111	опять упал / думаю ну нет все //
text@XXX	@XXX	0.001	5.224	после какой песни... / после выхода какой песни вы считаете / эээ / вы стали популярными ? //
text@XXX	@XXX	16.494	19.148	как вы думаете / в каком жанре вы играете ? //
text@XXX	@XXX	28.641	29.617	мощно //
text@XXX	@XXX	31.999	36.79	с кем из / эээ / знаменитых русских поп-звезд вы хотели бы спеть ? //
text@XXX	@XXX	37.837	40.024	ну да / таких самых популярных / самых глобальных //
text@XXX	@XXX	41.609	44.936	угу / кстати следующий вопрос / если бы вы попали в шоу Голос //
text@XXX	@XXX	44.936	51.024	и там сидят / Григорий Лепс /  Градский / Киркоров и /  допустим / Джон Леннон //
text@XXX	@XXX	52.089	52.965	допустим //
text@XXX	@XXX	53.521	55.953	к... к кому бы вы пошли ? //
text@XXX	@XXX	65.97	67.283	хорошо / вся четверка //
text@XXX	@XXX	71.679	73.432	почему именно к нему / если не секрет ? //
